Val_Accuracy,Test_Accuracy,Balanced_Accuracy,MCC
0.84375,0.9,0.9065934065934066,0.7917269111451889
0.90625,0.65,0.6978021978021978,0.3851644432598216
0.90625,0.7,0.717948717948718,0.40883815970729953
0.84375,0.825,0.8304843304843305,0.631929768778593
0.875,0.925,0.9045584045584045,0.8269802600806244
